"name1","name2","ally"
"JPN","SPN",0
"JPN","POR",0
"JPN","JPN",NA
"JPN","TUR",0
"JPN","GRC",0
"MNG","GUA",0
"MNG","HON",0
"MNG","SAL",0
"MNG","NIC",0
"MNG","ECU",0
"MNG","UKG",0
"MNG","FRN",0
"MNG","GMY",0
"MNG","AUH",0
"MNG","ITA",0
"MNG","MNG",NA
"MNG","YUG",1
"MNG","BUL",0
"MNG","ROM",0
"MNG","RUS",0
"MNG","COS",0
"MNG","BOL",0
"MNG","SPN",0
"MNG","POR",0
"MNG","JPN",0
"MNG","TUR",0
"MNG","GRC",0
"NIC","GUA",0
"NIC","HON",0
"NIC","SAL",0
"NIC","NIC",NA
"NIC","ECU",0
"NIC","UKG",0
"NIC","FRN",0
"NIC","GMY",0
"NIC","AUH",0
"NIC","ITA",0
"NIC","MNG",0
"NIC","YUG",0
"NIC","BUL",0
"NIC","ROM",0
"NIC","RUS",0
"NIC","COS",0
"NIC","BOL",0
"NIC","SPN",0
"NIC","POR",0
"NIC","JPN",0
"NIC","TUR",0
"NIC","GRC",0
"POR","GUA",0
"POR","HON",0
"POR","SAL",0
"POR","NIC",0
"POR","ECU",0
"POR","UKG",1
"POR","FRN",0
"POR","GMY",0
"POR","AUH",0
"POR","ITA",0
"POR","MNG",0
"POR","YUG",0
"POR","BUL",0
"POR","ROM",0
"POR","RUS",0
"POR","COS",0
"POR","BOL",0
"POR","SPN",0
"POR","POR",NA
"POR","JPN",0
"POR","TUR",0
"POR","GRC",0
"ROM","GUA",0
"ROM","HON",0
"ROM","SAL",0
"ROM","NIC",0
"ROM","ECU",0
"ROM","UKG",0
"ROM","FRN",0
"ROM","GMY",1
"ROM","AUH",1
"ROM","ITA",0
"ROM","MNG",0
"ROM","YUG",0
"ROM","BUL",0
"ROM","ROM",NA
"ROM","RUS",1
"ROM","COS",0
"ROM","BOL",0
"ROM","SPN",0
"ROM","POR",0
"ROM","JPN",0
"ROM","TUR",0
"ROM","GRC",0
"RUS","GUA",0
"RUS","HON",0
"RUS","SAL",0
"RUS","NIC",0
"RUS","ECU",0
"RUS","UKG",0
"RUS","FRN",1
"RUS","GMY",0
"RUS","AUH",0
"RUS","ITA",0
"RUS","MNG",0
"RUS","YUG",0
"RUS","BUL",0
"RUS","ROM",1
"RUS","RUS",NA
"RUS","COS",0
"RUS","BOL",0
"RUS","SPN",0
"RUS","POR",0
"RUS","JPN",0
"RUS","TUR",0
"RUS","GRC",0
"SAL","GUA",0
"SAL","HON",0
"SAL","SAL",NA
"SAL","NIC",0
"SAL","ECU",0
"SAL","UKG",0
"SAL","FRN",0
"SAL","GMY",0
"SAL","AUH",0
"SAL","ITA",0
"SAL","MNG",0
"SAL","YUG",0
"SAL","BUL",0
"SAL","ROM",0
"SAL","RUS",0
"SAL","COS",0
"SAL","BOL",0
"SAL","SPN",0
"SAL","POR",0
"SAL","JPN",0
"SAL","TUR",0
"SAL","GRC",0
"SPN","GUA",0
"SPN","HON",0
"SPN","SAL",0
"SPN","NIC",0
"SPN","ECU",0
"SPN","UKG",0
"SPN","FRN",0
"SPN","GMY",0
"SPN","AUH",0
"SPN","ITA",0
"SPN","MNG",0
"SPN","YUG",0
"SPN","BUL",0
"SPN","ROM",0
"SPN","RUS",0
"SPN","COS",0
"SPN","BOL",0
"SPN","SPN",NA
"SPN","POR",0
"SPN","JPN",0
"SPN","TUR",0
"SPN","GRC",0
"TUR","GUA",0
"TUR","HON",0
"TUR","SAL",0
"TUR","NIC",0
"TUR","ECU",0
"TUR","UKG",0
"TUR","FRN",0
"TUR","GMY",1
"TUR","AUH",0
"TUR","ITA",0
"TUR","MNG",0
"TUR","YUG",0
"TUR","BUL",1
"TUR","ROM",0
"TUR","RUS",0
"TUR","COS",0
"TUR","BOL",0
